"item_sugerido","veces","variantes"
"REVISAR NO PRENDE","1","REVISAR NO PRENDE (1)"
"REVISION MOTOR DE ARRANQUE","1","REVISION MOTOR DE ARRANQUE (1)"
"BATERIA PULSAR","1","BATERIA PULSAR (1)"
"RETENES ORRING","1","RETENES ORRING (1)"
"2 DIRECCIONALES","1","2 DIRECCIONALES (1)"
"EXTRACCION DE RODAMIENTOS","1","EXTRACCION DE RODAMIENTOS (1)"
"RETIRAR PORTACELULAR","1","RETIRAR PORTACELULAR (1)"
"ARREGLO DE CARDAN","1","ARREGLO DE CARDAN (1)"
"CAMBIO RETEN DE CIGUENAL Y CONTRABALAN","1","CAMBIO RETEN DE CIGÜEÑAL Y CONTRABALAN (1)"
"ARREGLAR DIRECCIONAL","1","ARREGLAR DIRECCIONAL (1)"
"MANTENIMIENTO MOTOR DE ARRANQUE","1","MANTENIMIENTO MOTOR DE ARRANQUE (1)"
"CONSUMO","1","CONSUMO (1)"
"MANO DE OBRAA","1","MANO DE OBRAA (1)"
"ARREGLO DIRECCIONAL","1","ARREGLO DIRECCIONAL (1)"
"INSTALACION PORTA MALETA","1","INSTALACION PORTA MALETA (1)"
"BASE DE MARIPOSA","1","BASE DE MARIPOSA (1)"
"MARIPOSA","1","MARIPOSA (1)"
"TAPA MARIPOSA","1","TAPA MARIPOSA (1)"
"REVISAR SONIDO DE CADENA","1","REVISAR SONIDO DE CADENA (1)"
"PINTURA DE GUARDABARRO TRASERO","1","PINTURA DE GUARDABARRO TRASERO (1)"
"CAMBIO DE BOMBA","1","CAMBIO DE BOMBA (1)"
"PINTURA DE EXOSTO","1","PINTURA DE EXOSTO (1)"
"PINTURA DE GUARDABARRO DEL","1","PINTURA DE GUARDABARRO DEL (1)"
"CAMCOMANIAS","1","CAMCOMANIAS (1)"
"ARRELO DE TABLERO","1","ARRELO DE TABLERO (1)"
"PASTILLAS GARANTIA","1","PASTILLAS GARANTIA (1)"
"PROTECTORES DE TALON","1","PROTECTORES DE TALON (1)"
"EXTRACCION DE BOBINA","1","EXTRACCION DE BOBINA (1)"
"LAVADO FILTRO KYN","1","LAVADO FILTRO KYN (1)"
"CARDA DE BATERIA","1","CARDA DE BATERIA (1)"
"ARREGLAR TORNILLO","1","ARREGLAR TORNILLO (1)"
"PIN PASADOR DE MORDAZA","1","PIN PASADOR DE MORDAZA (1)"
"ARREGLO CABLEADO EXPLORADORAS","1","ARREGLO CABLEADO EXPLORADORAS (1)"
"RIN DELANTERO","1","RIN DELANTERO (1)"
"DUPLICADO DE LLAVE","1","DUPLICADO DE LLAVE (1)"
"INSTALACION LUZ PLACA","1","INSTALACION LUZ PLACA (1)"
"VARILLAS ANTIVIBRATORIS","1","VARILLAS ANTIVIBRATORIS (1)"
"ACEITE BARRA","1","ACEITE BARRA (1)"
"DEPURACION LIQUIDO","1","DEPURACION LIQUIDO (1)"
"CAMBIO ORING PEDAL DE CAMBIOS","1","CAMBIO ORING PEDAL DE CAMBIOS (1)"
"BEDUINO","1","BEDUINO (1)"
"PINTURA TALONERAS","1","PINTURA TALONERAS (1)"
"ARREGLO DE TAPAS Y PINTURA","1","ARREGLO DE TAPAS Y PINTURA (1)"
"MANTENIMINETO DE BARRAS","1","MANTENIMINETO DE BARRAS (1)"
"PINTURA Y ARREGLO DE TAPA","1","PINTURA Y ARREGLO DE TAPA (1)"
"BALANCEO Y RECTIFICACION DE RIN","1","BALANCEO Y RECTIFICACION DE RIN (1)"
"PINON VELOCIMETRO","1","PIÑON VELOCIMETRO (1)"
"EXTENSORES","1","EXTENSORES (1)"
"CAUCHOS CUERPO DE ACELERACION","1","CAUCHOS CUERPO DE ACELERACION (1)"
"CAMBIO TAPON CULATA","1","CAMBIO TAPON CULATA (1)"
"TERMINAL","1","TERMINAL (1)"
"MANO DE OBRA CAMBIO DE DISCOS","1","MANO DE OBRA CAMBIO DE DISCOS (1)"
"CAMBIO DE VLVULA DE LLANTA","1","CAMBIO DE VLVULA DE LLANTA (1)"
"AREGLO TRASPONDER","1","AREGLO TRASPONDER (1)"
"MANO DE OBRA SWITCH","1","MANO DE OBRA SWITCH (1)"
"CALCOMANIAS DE TAPAS","1","CALCOMANIAS DE TAPAS (1)"
"LIMPIEZA Y CINCADO DE EXOSTO","1","LIMPIEZA Y CINCADO DE EXOSTO (1)"
"PINTURA TAPAS LATERALES 2","1","PINTURA TAPAS LATERALES 2 (1)"
"ENSAMBLE GENERAL","1","ENSAMBLE GENERAL (1)"
"TAPA DE RADIASOR","1","TAPA DE RADIASOR (1)"
"ENDEREZAR QUILLA","1","ENDEREZAR QUILLA (1)"
"EMPAQUE CLUTCH","1","EMPAQUE CLUTCH (1)"
"ARREGLO PALANCAS","1","ARREGLO PALANCAS (1)"
"RTAPIZADO DE SILLAS","1","RTAPIZADO DE SILLAS (1)"
"SOLDADURA DE TAPAS","1","SOLDADURA DE TAPAS (1)"
"RECTIFICADO DE ROSCA","1","RECTIFICADO DE ROSCA (1)"
"TORNILLOS D MULETA","1","TORNILLOS D MULETA (1)"
"MANTENIMIENTO DE CLUTXH","1","MANTENIMIENTO DE CLUTXH (1)"
"SISTEMA ELECTRICO","1","SISTEMA ELECTRICO (1)"
"MANTENIMIENTOSUSPENSION TRASERA","1","MANTENIMIENTOSUSPENSION TRASERA (1)"
"SOPORTE DE EXPLORADORAS","1","SOPORTE DE EXPLORADORAS (1)"
"ARREGLO DIRECCIONAL TRASERA DERECHA","1","ARREGLO DIRECCIONAL TRASERA DERECHA (1)"
"KIT D CILINDRO","1","KIT D CILINDRO (1)"
"PINTURA DE COLA","1","PINTURA DE COLA (1)"
"INSTALACION DE EXOSTO","1","INSTALACION DE EXOSTO (1)"
"PINTURA TAPA RESERVORIO","1","PINTURA TAPA RESERVORIO (1)"
"800 DE ACEITE","1","800 DE ACEITE (1)"
"EMPAQUE TAPA VALVULAS","1","EMPAQUE TAPA VALVULAS (1)"
"MANTENIMIENTO Y PURGA DE CLUTCH","1","MANTENIMIENTO Y PURGA DE CLUTCH (1)"
"SENSOR PRESION DE ACEITE","1","SENSOR PRESION DE ACEITE (1)"
"PINTURA PUNTAS DE EXOSTO","1","PINTURA PUNTAS DE EXOSTO (1)"
"CAMBIO DE VENTILADOR","1","CAMBIO DE VENTILADOR (1)"
"SENSOR DE PRESION","1","SENSOR DE PRESION (1)"
"PINTURA DE TANQUE Y ARREGLO","1","PINTURA DE TANQUE Y ARREGLO (1)"
"PINTURA DE TAPAS 5","1","PINTURA DE TAPAS 5 (1)"
"MANTENIMIENTO FILTROS DE AIRE","1","MANTENIMIENTO FILTROS DE AIRE (1)"
"DIRECCIONAL IZQ TRASERA","1","DIRECCIONAL IZQ TRASERA (1)"
"1 4 ACEITE MOTUL 5100","1","1/4 ACEITE MOTUL 5100 (1)"
"REVISION KIT DE ARRSTRE","1","REVISION KIT DE ARRSTRE (1)"
"FILTRO D ACEITE","1","FILTRO D ACEITE (1)"
"ARREGLO SUBCHASIS","1","ARREGLO SUBCHASIS (1)"
"CAMBIO DE RODAMIENTOS DE AMBAS RUEDAS","1","CAMBIO DE RODAMIENTOS DE AMBAS RUEDAS (1)"
"CAMBIO RODAMIENTOS DELANTEROS","1","CAMBIO RODAMIENTOS DELANTEROS (1)"
"TORNILLO MEDIAVULETA","1","TORNILLO MEDIAVULETA (1)"
"ARREGLO DE ESPEJO DERECHO","1","ARREGLO DE ESPEJO DERECHO (1)"
"BASES DE POSAPIES MANUBRIO","1","BASES DE POSAPIES, MANUBRIO (1)"
"EMPQUE TAPA VOLANTE","1","EMPQUE TAPA VOLANTE (1)"
"CAMBIO E ACEITE","1","CAMBIO E ACEITE (1)"
"MANTENNIMIENTO DE BARRA","1","MANTENNIMIENTO DE BARRA (1)"
"SOLDADURA BASE DEFENSA IZQUIERDA","1","SOLDADURA BASE DEFENSA IZQUIERDA (1)"
"EXTENSOR PEDAL DE FRENO","1","EXTENSOR PEDAL DE FRENO (1)"
"PROTECTOR DE CARDAN","1","PROTECTOR DE CARDAN (1)"
"ARREGLO DE CORONA","1","ARREGLO DE CORONA (1)"
"SOLDADURA CABLE","1","SOLDADURA CABLE (1)"
"RETOQUES DEFENSAS","1","RETOQUES DEFENSAS (1)"
"REVISAR FUERZA","1","REVISAR FUERZA (1)"
"PINTURA TAPA VOLANTE","1","PINTURA TAPA VOLANTE (1)"
"REVISAR BUJIA","1","REVISAR BUJIA (1)"
"LUBRICAR PARTES MOVILES","1","LUBRICAR PARTES MOVILES (1)"
"CAMBIO DE ACEITTE","1","CAMBIO DE ACEITTE (1)"
"TOAL","1","TOAL: (1)"
"ARRGLO DE MANDO","1","ARRGLO DE MANDO (1)"
"CAMBIO PERA DE CLUTCH","1","CAMBIO PERA DE CLUTCH (1)"
"LAVADA Y TENSION DE CADENA","1","LAVADA Y TENSION DE CADENA (1)"
"ARREGLO DE EXOSTOS","1","ARREGLO DE EXOSTOS (1)"
"SENSOR DE FRENO DELANTERO","1","SENSOR DE FRENO DELANTERO (1)"
"SOLDADURA TAPA VOLANTE","1","SOLDADURA TAPA VOLANTE (1)"
"RETENES","1","RETENES (1)"
"MANTENIMIENTO DE CUNAS","1","MANTENIMIENTO DE CUNAS (1)"
"MANTENIMIENTO DE AMORTIGUADOR","1","MANTENIMIENTO DE AMORTIGUADOR (1)"
